Park Name,County,Park Identifier,Park Address,Fire Authority,Jurisdiction,MH Spaces,RV Lots w/Drains,RV Lots w/o Drains,Operated By
THE OAKS COMMUNITY ASSOCIATION,AMADOR,03-0046-MP,"5607 JACKSON VALLEY RD, IONE, CA,  95640,  (209) 274-6056","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",209,0,0,"THE OAKS COMMUNITY ASSOCIATION, 5607 JACKSON VALLEY RD, IONE,  CA,  95640, "
CAMANCHE NORTH SHORE RECREATION AREA,AMADOR,03-0029-MP,"2000 CAMANCHE RD, IONE, CA,  95640,  (209) 763-5912","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",146,3,252,"EAST BAY MUNICIPAL UTILITY DISTRICT, 15083 CAMANCHE PARKWAY SOUTH, VALLEY SPRINGS,  CA,  95252, "
LAKE AMADOR RESORT,AMADOR,03-0030-MP,"7500 LAKE AMADOR DR, IONE, CA,  95640,  (209) 274-4739","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",4,0,107,"LOCKHART, ROBERT L., 7500 LAKE AMADOR DR, IONE,  CA,  95640, "
CASTLE VILLAGE MOBILE HOME PARK,AMADOR,03-0050-MP,"1400 W MARLETTE ST, IONE, CA,  95640,  (916) 803-1031","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",120,0,0,"FUJINAKA CASTLE LP, 8801 FOLSOM BLVD SUITE # 295, SACRAMENTO,  CA,  95826, "
IONE MOBILE HOME PARK,AMADOR,03-0006-MP,"1311 W MARLETTE ST, IONE, CA,  95640,  (209) 274-2619","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",49,3,1,"IONE MOBILE HOME PARK, LLC, 7660 SUNDRIFT LANE, SACRAMENTO,  CA,  95828, "
DEL YERMO RV PARK,IMPERIAL,13-0148-MP,"263 E ALAMO, CALIPATRIA, CA,  92233,  (999) 352-4341","LOCAL FIRE AUTHORITY , XXXX, RIVERSIDE, CA,92501,undefined,","IMPERIAL, 801 MAIN STREET,  EL CENTRO,  CA,  92243,  (760) 482-4311, RUBIO, SERGIO",0,45,0,"WIDMANN, GEORGE, PO BOX 204, CALIPATRIA,  CA,  92233, "
GOLDEN VALLEY TP,IMPERIAL,13-0013-MP,"207 N SORENSON AVE, CALIPATRIA, CA,  92233,  (619) 352-5988","undefined , undefined, undefined, undefined,undefined,undefined,","IMPERIAL, 801 MAIN STREET,  EL CENTRO,  CA,  92243,  (760) 482-4311, RUBIO, SERGIO",14,0,0,"SUSSEX, R, PO BOX 211, CALIPATRIA,  CA,  92233, "
THUNDERBIRD VILLA MHP,LOS ANGELES,19-1218-MP,"10001 W FRONTAGE RD, SOUTH GATE, CA,  90280,  (909) 885-8722","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","SOUTH GATE, MOBILEHOME PARKS PROGRAM 8650 CALIFORNIA AVENUE,  SOUTH GATE,  CA,  90280,  (323) 563-9549, TALLY, STEVE",239,0,0,"AVMGH SIX THUNDERBIRD VILLA, C/O SUBURBAN PARK MANAGEMENT 621 A QUINAN ST, PINOLE,  CA,  94564, "
GARDENLAND TRAILER CT,SACRAMENTO,34-0177-MP,"420 CLEVELAND AVE, SACRAMENTO, CA,  95833,  (916) 318-2571","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",1,6,0,"420 CLEVELAND LLC, 8850 WILLIAMSON DR # 667, ELK GROVE,  CA,  95759, "
BUTTE CITY HUNTING CLUB INC,GLENN,11-0039-MP,"1559 COUNTY RD Z, BUTTE CITY, CA,  95920,  (530) 982-2037","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,0,60,"BUTTE CITY HUNTING CLUB C/O GARY KISER/C, 205 SOARING HANK PLACE, LINCOLN,  CA,  95648, "
CYPRESS INN MHP,SAN BERNARDINO,36-0185-MP,"2057 N MOUNT VERNON AVE, SAN BERNARDINO, CA,  92411,  (909) 884-0706","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",50,0,0,"WAYNE BROWNING, 1046 PESCADOR DR, NEWPORT BEACH,  CA,  92660, "
SUNSET MHP,SAN BERNARDINO,36-0207-MP,"1594 W 4TH ST, SAN BERNARDINO, CA,  92411,  (626) 448-7419","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",13,0,0,"CARROSE INVESTMENTS INC, PO BOX 133, AZUSA,  CA,  91702, "
MANOR MHP 2,SAN BERNARDINO,36-0451-MP,"2590 N MEDICAL CENTER DR, SAN BERNARDINO, CA,  92411,  (909) 887-5415","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",69,1,0,"WESTERN MKC MGMT., INC, 150 E. MONTECITO AVE SUITE # D, SIERRA MADRE,  CA,  91024, "
HIGHLAND MOBILEHOME PARK,SAN BERNARDINO,36-0449-MP,"1826 W 19TH ST, SAN BERNARDINO, CA,  92411,  (909) 880-4231","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",62,0,0,"HIGHLAND MOBILEHOME PARK LLC, PO BOX 15274, NEWPORT BEACH,  CA,  92659, "
LAKE PERRIS VILLAGE MFD HOME COMMUNITY,RIVERSIDE,33-0406-MP,"350 E SAN JACINTO AVE, PERRIS, CA,  92571,  (951) 928-3151","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",223,0,0,"WESTWIND ENTERPRISES LTD, 1515 THE ALAMEDA SUITE # 200, SAN JOSE,  CA,  95126, "
PARK PLACE MH COMMUNITY,RIVERSIDE,33-0540-MP,"80 E DAWES ST, PERRIS, CA,  92571,  (909) 674-7911","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",205,0,0,"WESTWIND ENTERPRISES LTD, 1515 THE ALAMEDA SUITE # 200, SAN JOSE,  CA,  95126, "
LAZY WHEELS,RIVERSIDE,33-0187-MP,"4715 WADE, PERRIS, CA,  92571,  (909) 940-0619","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",21,0,6,"DUTTA, MALVINDER, 14851 WHITE BOX LN., MORENO VALLEY,  CA,  92555, "
CAMPERS RESORT OF AMERICA,RIVERSIDE,33-0488-MP,"25485 RAMONA EXPY, PERRIS, CA,  92571,  (909) 925-2515","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",0,269,0,"CAMPER RESORTS OF AMERICA, 375 E RAMONA EXPY, PERRIS,  CA,  92570, "
